Allocation Id,Data name,Sender,Receiver,instance_dimension,Signal Id,Message ID,Label,start bit,stop bit,encoding,unit,scale,resolution,minimum,maximum,Refresh rate,validity,notes,On aircraft ?,On FND ?,On Sim ?
DBUS-038,Engine inlet temperature,EPECS,HICU,,SIG-026,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-039,Inter-turbine temperature,EPECS,HICU,,SIG-027,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-040,Combining gearbox oil pressure,EPECS,HICU,,SIG-031,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-041,Combining gearbox oil temperature,EPECS,HICU,,SIG-032,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-042,Combining gearbox chip detection,EPECS,HICU,,SIG-033,TBD,TBD,TBD,TBD,Discrete,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-043,Combining gearbox oil filter differential pressure,EPECS,HICU,,SIG-034,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-051,IPTMS coolant target temperature,HICU,IPTMS,,SIG-102,TBD,TBD,TBD,TBD,BNR,degC,,,,,20,"Frame CRC, plus receiver freshness timeout",HICU-commanded setpoint.,TBD,TBD,TBD
DBUS-052,IPTMS pre-conditioning command,HICU,IPTMS,,SIG-103,TBD,TBD,TBD,TBD,Discrete,,,,,,20,"Frame CRC, plus receiver freshness timeout",Ground/pre-flight thermal pre-conditioning request.,TBD,TBD,TBD
DBUS-053,IPTMS status and operating limits,IPTMS,HICU,,SIG-124,TBD,TBD,TBD,TBD,TBD,,,,,,100,"Frame CRC, plus receiver freshness timeout",Aggregate status word; mirrors the Pack/ESS status pattern.,TBD,TBD,TBD
DBUS-054,IPTMS loop 1 pump discharge pressure,IPTMS,HICU,,SIG-050,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-055,IPTMS loop 1 coolant supply temperature,IPTMS,HICU,,SIG-051,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-056,IPTMS loop 1 coolant return temperature,IPTMS,HICU,,SIG-052,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-057,IPTMS loop 1 TBV position feedback,IPTMS,HICU,,SIG-053,TBD,TBD,TBD,TBD,BNR,%,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-058,IPTMS loop 2 pump discharge pressure,IPTMS,HICU,,SIG-054,TBD,TBD,TBD,TBD,BNR,,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-059,IPTMS loop 2 coolant supply temperature,IPTMS,HICU,,SIG-055,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
DBUS-060,IPTMS loop 2 coolant return temperature,IPTMS,HICU,,SIG-056,TBD,TBD,TBD,TBD,BNR,degC,,,,,100,"Frame CRC, plus receiver freshness timeout",,TBD,TBD,TBD
